Initial prep,Lower reference,Upper reference,6.827e-01 lower,6.827e-01 upper,9.545e-01 lower,9.545e-01 upper
0.000000000000000000e+00,2.488333297363930913e-04,2.497390850926697425e-04,1.616061441832833791e-04,3.766183407965317874e-04,1.023233480825676956e-04,5.073863630763796951e-04
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.825239896634546895e-05,0.000000000000000000e+00,3.741306888204246062e-05
