Initial prep,Lower reference,Upper reference,6.827e-01 lower,6.827e-01 upper,9.545e-01 lower,9.545e-01 upper
0.000000000000000000e+00,1.159957630666662266e-04,1.164473197798735930e-04,5.202093686143642446e-05,2.331497269497682988e-04,2.146755332527861801e-05,3.549603120955889318e-04
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.925550037267326561e-05,0.000000000000000000e+00,3.928058048057317869e-05
