Initial prep,Lower reference,Upper reference,6.827e-01 lower,6.827e-01 upper,9.545e-01 lower,9.545e-01 upper
0.000000000000000000e+00,2.723479729171915126e-03,2.748852033994629140e-03,2.215679240248498091e-03,3.397082096867535747e-03,1.792259663917318297e-03,4.022026970391804832e-03
1.000000000000000000e+00,1.558358051149721696e-04,2.039712102780432985e-04,0.000000000000000000e+00,4.991461853345215008e-04,0.000000000000000000e+00,7.855183236736741495e-04
